driver_id,kvs_filename,kvs_tag,kvs_sha256,kvs_authenti_sha256,tbs_sha256
87752fb8-e9f6-4235-91e2-c4343677d817,,mimidrv.sys,4136f1eb11cc463a858393ea733d5f1c220a3187537626f7f5d63eccf7c5a03f,8c87d5f1261a367493fd2f240ace027bef5b178cff3dea22d45e8fa2b0f0541e,ef14ea05bb066ee9f4188196dd69cd769b283ac4d7555db52f5e76922d3456e1
8d3f27bd-c3fd-48d0-913a-e2caa6fbd025,rtkio64.sys,rtkio64.sys,074ae477c8c7ae76c6f2b0bf77ac17935a8e8ee51b52155d2821d93ab30f3761,64d060216cf55210f595609487b708d5e70e0706a8de0827369bf58898205f34,37560fb9d548ab62cc3ed4669a4ab74828b5a108e67e829937ffb2d10a5f78dd
a7bba474-815f-49be-bddc-4d76a64c866c,ntiolib.sys,ntiolib.sys,d8b58f6a89a7618558e37afc360cd772b6731e3ba367f8d58734ecee2244a530,4a05ad47cd63932b3df2d0f1f42617321729772211bec651fe061140d3e75957,ef14ea05bb066ee9f4188196dd69cd769b283ac4d7555db52f5e76922d3456e1
e769d1f6-8a38-426f-b5e7-447241204ee1,,-,cac5dc7c3da69b682097144f12a816530091d4708ca432a7ce39f6abe6616461,1dcdd1efab9abc25f4227b37f76da295a6dc4cf810875ba34ee1d465eb709b70,07b8f662558ec85b71b43a79c6e94698144f4ced2308af21e7ba1e5d461da214
87752fb8-e9f6-4235-91e2-c4343677d817,,mimidrv.sys,4af8192870afe18c77381dfaf8478f8914fa32906812bb53073da284a49ae4c7,4d11419d2f1d6217481d12d3f3fcd13f693f7454f9fadcdeee72bdc0ce06c8e2,ef14ea05bb066ee9f4188196dd69cd769b283ac4d7555db52f5e76922d3456e1
14556074-b235-4378-b356-f58721629d72,,mimikatz.sys,47356707e610cfd0be97595fbe55246b96a69141e1da579e6f662ddda6dc5280,82fea578188662b4ed6df4c3aaaf6ebae72a6cd2f8bf135a89150cca1769156b,ef14ea05bb066ee9f4188196dd69cd769b283ac4d7555db52f5e76922d3456e1
855ade1f-8a9e-4c9d-ab8e-d7e409609852,,elbycdio.sys,fed0fe2489ae807913be33827b3b11359652a127e33b64464cc570c05abd0d17,ad5418a4b5edf1c963da343b1bdba14fac9e8ee49489b2f35136c4aebc9540b8,ef14ea05bb066ee9f4188196dd69cd769b283ac4d7555db52f5e76922d3456e1
8d3f27bd-c3fd-48d0-913a-e2caa6fbd025,rtkiow10x64.sys,rtkio.sys,32e1a8513eee746d17eb5402fb9d8ff9507fb6e1238e7ff06f7a5c50ff3df993,bc65d8ade2e72475a585307311e3058b3dbc4a7d2be6740c2c53a5902e698e7f,37560fb9d548ab62cc3ed4669a4ab74828b5a108e67e829937ffb2d10a5f78dd
2651f5c4-d9e1-4b06-92be-e9e7313f87c4,asio.sys,asio2.sys,0ee5067ce48883701824c5b1ad91695998916a3702cf8086962fbe58af74b2d6,9dcfd796e244d0687cc35eac9538f209f76c6df12de166f19dbc7d2c47fb16b3,cec1afd0e310c55c1dcc601ab8e172917706aa32fb5eaf826813547fdf02dd46
043773c5-120a-4c6b-8485-8f1f5c47fd3e,aswarpot.sys,avgarpot.sys,94911fe6f2aba9683b10353094caf71ee4a882de63b4620797629d79f18feec5,2537f2ad83f5efc841ed75081d5dfffeb04eea92abfb9844adc091ff2a671b56,37560fb9d548ab62cc3ed4669a4ab74828b5a108e67e829937ffb2d10a5f78dd
0258df5c-c3c1-4ed5-ba8f-846d91526ffe,asrdrv10.sys,asrdrv10.sys,ece0a900ea089e730741499614c0917432246ceb5e11599ee3a1bb679e24fd2c,c767a5895119154467ac3fce8e82c20e6538a4e54f6c109001c61f8abd58f9f8,03cda47a6e654ed85d932714fc09ce4874600eda29ec6628cfbaeb155cab78c9
2651f5c4-d9e1-4b06-92be-e9e7313f87c4,asio2.sys,asio2.sys,a7860e110f7a292d621006b7208a634504fb5be417fd71e219060381b9a891e6,7ebc5906d7fd9c606dc6ef9b49f3e57b63af838f5807fcdcdd5ff47b5b05e39c,eec58131dc11cd7f512501b15fdbc6074c603b68ca91f7162d5a042054edb0cf
043773c5-120a-4c6b-8485-8f1f5c47fd3e,aswarpot.sys,avgarpot.sys,19d0fc91b70d7a719f7a28b4ad929f114bf1de94a4c7cba5ad821285a4485da0,968258fe6b307a7887465c7fb0a0b7b45f973b91deb8638af1428d247430d777,37560fb9d548ab62cc3ed4669a4ab74828b5a108e67e829937ffb2d10a5f78dd
